time_bin,n_pairs,bias_bpm,sd_diff_bpm,loa_lower_bpm,loa_upper_bpm
11:00-11:30,68,6.958780707978932,14.511439402859754,-21.483640521626185,35.40120193758405
10:00-10:30,54,3.6743452291542726,16.54133447954186,-28.746670350747774,36.09536080905632
11:30-12:00,53,3.0826234933125725,12.40636396192354,-21.23384987205757,27.39909685868271
10:30-11:00,51,6.318989757105626,18.086288735821007,-29.13013616510355,41.7681156793148
09:00-09:30,49,2.375929449999071,15.211044203607884,-27.43771718907238,32.18957608907052
09:30-10:00,45,-0.09000043582718717,16.79237829499022,-33.00306189400801,32.82306102235364
13:30-14:00,32,6.534113923774119,17.94983745298998,-28.64756748408624,41.71579533163448
14:00-14:30,29,8.132576628927735,21.96404996518617,-34.91696130283716,51.18211456069263
13:00-13:30,21,1.538209566210161,16.93554524758658,-31.65545911905954,34.73187825147986
08:30-09:00,20,-2.282802375074315,22.684228331294257,-46.74388990441106,42.178285154262426
12:30-13:00,20,11.766958108857159,14.302113891619584,-16.265185118717227,39.79910133643154
14:30-15:00,14,-1.7388027972167543,15.422117469371557,-31.966153037185002,28.488547442751496
12:00-12:30,6,1.895557179987004,17.621183917530058,-32.64196329837191,36.433077658345915
