intensity_band,n_pairs,bias_bpm,sd_diff_bpm,loa_lower_bpm,loa_upper_bpm
high (≥105.0),154,9.406531477077245,18.530071895527307,-26.912409438156274,45.72547239231076
low (<91.0),154,4.063161667594353,13.522123820764747,-22.44020102110455,30.566524356293257
mid (91.0-105.0),154,-0.9789024693649999,16.230937709067685,-32.79154037913766,30.83373544040766
