participant,n_pairs,bias_bpm,sd_diff_bpm,loa_lower_bpm,loa_upper_bpm
P001,121,3.9293536094482686,9.227175161525217,-14.155909707141157,22.014616926037696
P004,92,6.383602343029719,9.080085615126961,-11.413365462619126,24.180570148678562
P007,77,6.70308809795784,21.419206898076624,-35.27855742227234,48.68473361818802
P008,64,2.631644865222894,15.486678866480192,-27.72224571307828,32.98553544352407
P002,52,7.762224742438329,16.099243100013076,-23.792291733587298,39.31674121846396
P016,26,7.7004406793600095,21.316593109323588,-34.08008181491422,49.48096317363424
P005,24,-17.38261591401563,31.424488647047365,-78.97461366222846,44.2093818341972
P003,6,-1.7314759259259251,11.670962255059901,-24.606561945843332,21.143610093991484
