participant,n_pairs,bin_minutes,pearson_r,p_value
1,121,5,0.7353633209217122,7.676473423257408e-22
2,52,5,0.2749793030777433,0.04850506225494708
3,6,5,-0.054318341133439335,0.9186026209487164
4,92,5,0.8147908524871047,5.037478696053149e-23
5,24,5,-0.17824779630525145,0.40466428613387473
7,77,5,0.6659545643687169,3.870581634691462e-11
8,64,5,0.7171291664119224,2.632239728097854e-11
16,26,5,0.5234639877084002,0.006063753522290155
