class_label,n_participants,spearman_rho_inattention,spearman_p_inattention,spearman_rho_hyperactivity,spearman_p_hyperactivity
Cash-Out,5,-0.09999999999999999,0.8728885715695383,-0.49999999999999994,0.39100221895577053
Commsci,2,,,,
ELA,8,0.30952380952380953,0.4556448907375822,0.8024095954818835,0.016540722800677185
Funday Friday,2,,,,
History,7,0.21428571428571433,0.6445115810207203,0.8571428571428573,0.013697326615325611
Homeroom,8,-0.19047619047619052,0.6514014957024814,0.023952525238265177,0.9551061898789129
Homework Reinforcement/Study Hall,2,,,,
Math,7,-0.10714285714285716,0.8191508555699912,0.07142857142857144,0.8790481931481541
Social Skills,5,0.19999999999999998,0.747060078104662,-0.09999999999999999,0.8728885715695383
