participant,points,plot
1,234,./graphs/oura/P001_oura_hr.png
2,105,./graphs/oura/P002_oura_hr.png
3,138,./graphs/oura/P003_oura_hr.png
4,457,./graphs/oura/P004_oura_hr.png
5,103,./graphs/oura/P005_oura_hr.png
6,107,./graphs/oura/P006_oura_hr.png
7,207,./graphs/oura/P007_oura_hr.png
8,274,./graphs/oura/P008_oura_hr.png
9,106,./graphs/oura/P009_oura_hr.png
12,79,./graphs/oura/P012_oura_hr.png
14,254,./graphs/oura/P014_oura_hr.png
16,118,./graphs/oura/P016_oura_hr.png
