timestamp_utc,apple_bpm,oura_bpm
2025-02-03 16:50:00+00:00,107.65,106.0
2025-02-03 17:05:00+00:00,110.2,107.5
2025-02-03 17:10:00+00:00,109.08333333333333,108.75
2025-02-03 17:20:00+00:00,97.06666666666666,96.66666666666667
2025-02-03 17:30:00+00:00,108.53333333333333,108.33333333333333
2025-02-03 17:40:00+00:00,106.1,105.33333333333333
2025-02-03 18:00:00+00:00,103.42,86.0
2025-02-03 18:10:00+00:00,100.84210526315789,100.33333333333333
2025-02-03 18:15:00+00:00,106.03333333333333,99.0
2025-02-03 18:20:00+00:00,103.48333333333333,89.66666666666667
2025-02-03 18:25:00+00:00,107.82142857142857,101.33333333333333
2025-02-03 18:35:00+00:00,99.23333333333333,98.33333333333333
2025-02-03 18:45:00+00:00,154.3846153846154,111.57894736842105
2025-02-03 19:00:00+00:00,108.88333333333334,105.0
2025-02-03 19:05:00+00:00,115.08333333333333,109.0
2025-02-03 19:10:00+00:00,109.98305084745763,83.66666666666667
2025-02-03 19:20:00+00:00,109.86666666666666,106.0
2025-02-03 19:25:00+00:00,104.42622950819673,108.0
2025-02-03 19:35:00+00:00,101.90163934426229,102.0
2025-02-03 19:40:00+00:00,98.83333333333333,94.66666666666667
2025-02-04 16:50:00+00:00,119.0701754385965,132.66666666666666
2025-02-04 17:10:00+00:00,112.85,107.33333333333333
2025-02-04 17:15:00+00:00,119.25,118.5
2025-02-04 17:20:00+00:00,112.08333333333333,109.33333333333333
2025-02-04 17:25:00+00:00,108.83333333333333,103.33333333333333
2025-02-04 17:35:00+00:00,106.8,101.66666666666667
2025-02-04 17:40:00+00:00,103.96666666666667,106.0
2025-02-04 17:50:00+00:00,103.7719298245614,87.33333333333333
2025-02-04 18:00:00+00:00,105.59183673469387,92.33333333333333
2025-02-04 18:10:00+00:00,115.86666666666666,105.5
2025-02-04 18:20:00+00:00,109.15,98.0
2025-02-04 18:40:00+00:00,101.61666666666666,98.66666666666667
2025-02-04 19:00:00+00:00,80.6,75.66666666666667
2025-02-04 19:30:00+00:00,87.11666666666666,81.33333333333333
2025-02-04 19:40:00+00:00,90.15,88.66666666666667
2025-02-04 21:40:00+00:00,116.5,113.0
2025-02-04 21:50:00+00:00,104.29508196721312,101.66666666666667
2025-02-04 22:00:00+00:00,102.38333333333334,94.66666666666667
2025-02-04 22:10:00+00:00,103.2542372881356,103.66666666666667
2025-02-04 22:35:00+00:00,116.40677966101696,98.66666666666667
2025-02-05 16:45:00+00:00,103.0,132.5
2025-02-05 16:55:00+00:00,119.58333333333333,126.5
2025-02-05 17:05:00+00:00,113.62711864406779,114.5
2025-02-05 17:10:00+00:00,115.23333333333333,116.0
2025-02-05 17:15:00+00:00,112.28813559322033,105.33333333333333
2025-02-05 17:20:00+00:00,109.21666666666667,103.0
2025-02-05 17:40:00+00:00,106.75,108.0
2025-02-05 17:45:00+00:00,108.7,105.0
2025-02-05 18:05:00+00:00,99.8,99.66666666666667
2025-02-05 18:10:00+00:00,101.11666666666666,81.0
2025-02-05 18:15:00+00:00,100.88333333333334,96.5
2025-02-05 18:20:00+00:00,99.75,99.0
2025-02-05 18:25:00+00:00,101.98333333333333,99.0
2025-02-05 18:35:00+00:00,95.68333333333334,82.66666666666667
2025-02-05 18:40:00+00:00,87.1,88.0
2025-02-05 18:45:00+00:00,91.9322033898305,80.0
2025-02-05 19:05:00+00:00,98.55,94.33333333333333
2025-02-05 19:10:00+00:00,99.45,93.66666666666667
2025-02-05 19:15:00+00:00,94.37288135593221,95.33333333333333
2025-02-05 19:20:00+00:00,96.0,95.16666666666667
2025-02-05 19:25:00+00:00,100.6,99.33333333333333
2025-02-05 19:30:00+00:00,104.41666666666667,97.0
2025-02-05 19:35:00+00:00,97.26666666666667,101.0
2025-02-05 19:40:00+00:00,93.16666666666667,96.66666666666667
2025-02-05 19:45:00+00:00,92.98333333333333,86.66666666666667
2025-02-05 19:50:00+00:00,102.48333333333333,82.0
2025-02-05 21:40:00+00:00,111.08333333333333,109.66666666666667
2025-02-05 21:55:00+00:00,107.36206896551724,104.5
2025-02-05 22:05:00+00:00,116.83333333333333,105.0
2025-02-05 22:15:00+00:00,107.43333333333334,106.33333333333333
2025-02-05 22:35:00+00:00,109.78333333333333,114.33333333333333
2025-02-06 16:45:00+00:00,109.38983050847457,113.0
2025-02-06 16:50:00+00:00,105.08333333333333,105.0
2025-02-06 17:05:00+00:00,111.86440677966101,103.0
2025-02-06 17:10:00+00:00,113.3,114.0
2025-02-06 17:15:00+00:00,108.65,102.16666666666667
2025-02-06 17:20:00+00:00,110.63333333333334,112.0
2025-02-06 17:25:00+00:00,109.3,100.5
2025-02-06 17:30:00+00:00,114.06666666666666,114.66666666666667
2025-02-06 17:35:00+00:00,109.25,104.66666666666667
2025-02-06 17:40:00+00:00,110.15,106.33333333333333
2025-02-06 17:45:00+00:00,106.83333333333333,107.33333333333333
2025-02-06 18:00:00+00:00,107.20338983050847,100.66666666666667
2025-02-06 18:10:00+00:00,102.7,97.0
2025-02-06 18:15:00+00:00,105.38333333333334,98.75
2025-02-06 18:20:00+00:00,95.65,84.66666666666667
2025-02-06 18:25:00+00:00,98.15,97.0
2025-02-06 18:30:00+00:00,103.22033898305085,78.0
2025-02-06 18:35:00+00:00,96.375,95.66666666666667
2025-02-06 18:45:00+00:00,95.94915254237289,86.33333333333333
2025-02-06 19:00:00+00:00,93.56666666666666,90.0
2025-02-06 19:05:00+00:00,90.9,87.0
2025-02-06 19:10:00+00:00,86.25,82.5
2025-02-06 19:15:00+00:00,85.95,88.0
2025-02-06 19:20:00+00:00,90.2,86.0
2025-02-06 19:35:00+00:00,95.15,94.0
2025-02-06 19:40:00+00:00,93.18333333333334,92.0
2025-02-06 19:45:00+00:00,92.45,98.0
2025-02-06 19:50:00+00:00,95.08333333333333,93.5
2025-02-06 21:40:00+00:00,134.46666666666667,120.0
2025-02-06 21:45:00+00:00,140.45,127.25
2025-02-06 21:50:00+00:00,127.06896551724138,131.75
2025-02-06 22:05:00+00:00,121.76785714285714,113.375
2025-02-06 22:10:00+00:00,139.01666666666668,136.1639344262295
2025-02-06 22:15:00+00:00,140.13333333333333,134.0
2025-02-06 22:25:00+00:00,111.44067796610169,111.04347826086956
2025-02-06 22:30:00+00:00,109.18333333333334,97.0
2025-02-06 22:35:00+00:00,111.1,107.66666666666667
2025-02-07 17:10:00+00:00,95.0,98.33333333333333
2025-02-07 17:20:00+00:00,97.0,100.66666666666667
2025-02-07 17:25:00+00:00,97.0,100.66666666666667
2025-02-07 17:35:00+00:00,96.41699999999999,101.66666666666667
2025-02-07 17:55:00+00:00,115.5,114.75
2025-02-07 18:30:00+00:00,88.0,92.66666666666667
2025-02-07 18:35:00+00:00,86.0,97.33333333333333
2025-02-07 19:40:00+00:00,130.0,90.66666666666667
2025-02-07 19:50:00+00:00,120.0,97.33333333333333
2025-02-07 19:55:00+00:00,85.0,103.33333333333333
2025-02-07 20:05:00+00:00,126.0,121.98148148148148
2025-02-07 20:10:00+00:00,89.0,105.23684210526316
2025-02-07 20:35:00+00:00,144.0,147.33333333333334
